Ano ingresso,IAA,IEG,IPS,IDA,IPV,IAN,RA,Fase,Turma,Gênero,Instituição de ensino,TARGET
1.3259173921690515,0.4785280895376609,-1.5714933662649406,1.5545850114623596,-0.8216950243961465,-0.2741008406737217,-0.8431375055583803,574,32,30,1,11,1
0.23163174818896082,-2.9849081777684416,-0.1645974937619916,0.691976757087043,0.6348713231655891,-0.053031284482570655,1.1335773226520263,1440,80,14,1,11,0
-1.409796717781175,-0.3027094978084363,0.14369621048416026,-0.4767182972279012,0.23762595564875216,-0.27383287757530783,1.1335773226520263,881,31,108,2,12,0
-1.409796717781175,0.7928364418935379,0.4079479569808627,-0.4767182972279012,-0.3085864246868987,0.12918362243862017,1.1335773226520263,1139,81,18,1,11,0
0.23163174818896082,-0.3091316636618615,-1.0158177882710706,0.687339078300079,-0.8216950243961465,0.15062067031170148,1.1335773226520263,1114,35,33,1,11,0
0.23163174818896082,0.22617474894424094,0.3198640414819616,0.682701399513115,0.23762595564875216,0.1806325373340153,-0.8431375055583803,1276,1,113,2,4,1
-1.409796717781175,0.603949210910439,-0.4288492402586933,0.4044406722952713,-1.50032252723741,0.5080834435953318,-0.8431375055583803,1164,1,102,2,4,1
0.7787745701790061,0.603949210910439,0.7602836189764648,0.691976757087043,1.4293620581992632,1.313580517426361,1.1335773226520263,1590,79,85,0,11,0
0.7787745701790061,0.636060040177566,0.3712463255229872,0.687339078300079,-0.32513831500010015,0.25673405728345405,-0.8431375055583803,134,42,40,0,11,1
-2.5040823617612658,0.41506197992733995,0.23178012598306133,0.12617994507742714,0.8831496778636123,0.4185837687252175,-0.8431375055583803,976,16,104,2,4,1
0.23163174818896082,-0.0004899282354776938,-1.0013946910015477,-0.4767182972279012,-0.5568647793849218,-0.5342930092332453,-1.8314949196635837,896,31,109,2,4,2
-0.31551107380108445,0.41506197992733995,0.8483675344753658,0.682701399513115,0.28728162658835704,0.3885719017029037,-0.8431375055583803,965,16,101,2,4,1
-2.5040823617612658,0.7928364418935379,-3.4677443249707647,-1.6268626363949894,-3.138959668244363,-3.868825805891039,1.1335773226520263,1393,86,67,0,7,0
0.23163174818896082,0.41506197992733995,0.5400738302292132,0.682701399513115,0.8831496778636123,0.5970471922686192,-0.8431375055583803,1391,0,107,3,4,1
0.23163174818896082,-2.9849081777684416,-1.35373035299715,-1.6268626363949894,-1.2023885015997822,-0.9882224979457417,-1.8314949196635837,868,83,53,0,11,2
0.7787745701790061,0.4158175288512726,-0.11216659170028509,0.687339078300079,-0.9044544759621543,-1.414283824423232,-0.8431375055583803,1601,79,87,1,11,1
0.23163174818896082,0.22617474894424094,0.0996542527347101,-0.19845757001005748,-0.3085864246868987,0.15062067031170148,1.1335773226520263,1369,0,105,2,4,0
0.23163174818896082,0.603949210910439,0.49603187247976305,0.691976757087043,1.0321166906824266,0.47932207085363904,-0.8431375055583803,1355,79,80,1,11,1
1.3259173921690515,0.16346418825785194,0.544967381188135,-0.4743994578344192,-0.32513831500010015,0.7106635459959499,-0.8431375055583803,634,49,46,1,11,1
0.23163174818896082,-2.9849081777684416,0.8043255767259149,-1.6268626363949894,1.0321166906824266,0.3328355772328923,-0.8431375055583803,964,81,20,1,11,1
-0.31551107380108445,0.22617474894424094,-0.20863945151144175,0.682701399513115,-0.407897766566108,-0.3258177186675302,-0.8431375055583803,1259,1,111,2,4,1
0.7787745701790061,0.3395070875341006,0.8043255767259149,-1.6268626363949894,-0.15961941186808484,0.4842347278365292,1.1335773226520263,194,83,45,1,11,0
0.7787745701790061,0.03804306688507462,-0.14528084546014466,0.687339078300079,1.081772361622031,0.029144065518932175,1.1335773226520263,44,23,22,0,11,0
-1.409796717781175,-2.9849081777684416,0.05561229498525995,-1.3393265516032173,0.5355599812863803,0.0023477556775806656,-0.8431375055583803,1343,80,8,1,11,1
0.7787745701790061,0.41506197992733995,0.9364514499742661,0.691976757087043,-0.4575534375057125,1.495795424347552,-0.8431375055583803,1592,79,86,0,11,1
-2.5040823617612658,-0.0004899282354776938,0.0996542527347101,-1.3393265516032173,0.38659296846756597,0.1747373491689179,-0.8431375055583803,1160,85,64,0,11,1
0.23163174818896082,0.49061687232057927,0.892409492224816,-1.6268626363949894,0.5852156522259847,0.6208959080274219,1.1335773226520263,1022,82,39,1,11,0
-1.409796717781175,0.7928364418935379,0.14369621048416026,-0.4767182972279012,1.2803950453804498,1.286784207585009,1.1335773226520263,1168,81,21,1,11,0
0.7787745701790061,0.7928364418935379,-0.29672336701034246,0.691976757087043,-1.50032252723741,0.42037018920266583,-0.8431375055583803,48,80,5,0,11,1
0.23163174818896082,-0.03826737443209769,0.6721997034775644,-0.4767182972279012,-0.15961941186808484,-0.2352461914037615,-1.8314949196635837,1169,81,21,1,11,2
1.3259173921690515,0.7935919908174706,-0.5950075355044422,0.687339078300079,0.33693729752796153,-0.02623497464121915,-0.8431375055583803,394,79,90,1,11,1
-3.0512251837513107,-0.0004899282354776938,-0.340765324759793,0.682701399513115,-0.35824209562650355,0.21761144491508047,-0.8431375055583803,366,47,101,2,4,1
-0.31551107380108445,0.41506197992733995,0.9364514499742661,0.691976757087043,1.18108370350124,0.5990122551689601,1.1335773226520263,1218,80,9,1,11,0
1.3259173921690515,0.6047047598343716,0.9364514499742661,0.687339078300079,0.08865894282993833,-0.2995573350230054,1.1335773226520263,365,79,85,1,11,0
1.3259173921690515,0.7935919908174706,0.22316322115812315,0.687339078300079,1.2059115389710426,0.15062067031170148,1.1335773226520263,407,79,92,0,11,0
-0.31551107380108445,-2.9849081777684416,-1.1335205642498984,0.12617994507742714,-1.2023885015997822,-0.1398513283685498,1.1335773226520263,201,47,97,2,4,0
-1.409796717781175,0.22617474894424094,0.1877381682336112,0.682701399513115,-0.9044544759621543,0.15062067031170148,1.1335773226520263,932,16,97,3,4,0
